--------------------
BDMEP - INMET
--------------------
Estação           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 07/07/1961
Periodo solicitado dos dados: 01/05/2017 a 07/06/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
82900;01/05/2017;0000;;30;;5.5;80.25;1.88628;
82900;01/05/2017;1200;4.4;;23;;;;
82900;02/05/2017;0000;;28.8;;4.2;89.25;1.37184;
82900;02/05/2017;1200;0.6;;20.6;;;;
82900;03/05/2017;0000;;28.8;;4.2;88.5;0.8574;
82900;03/05/2017;1200;60;;21;;;;
82900;04/05/2017;0000;;29.1;;6.5;82.5;1.54332;
82900;04/05/2017;1200;1.4;;24.8;;;;
82900;05/05/2017;0000;;30.8;;7.8;79;1.54332;
82900;05/05/2017;1200;0.2;;21.6;;;;
82900;06/05/2017;0000;;29.6;;0.4;94.75;0.34296;
82900;06/05/2017;1200;8.4;;22;;;;
82900;07/05/2017;0000;;29.7;;4.5;87.25;1.02888;
82900;07/05/2017;1200;19.7;;22.6;;;;
82900;08/05/2017;0000;;26.8;;0;93.5;1.20036;
82900;08/05/2017;1200;8.1;;23;;;;
82900;09/05/2017;0000;;29.5;;0.8;93.5;0.51444;
82900;09/05/2017;1200;17.1;;24;;;;
82900;10/05/2017;0000;;30.1;;4.4;85.25;0.8574;
82900;10/05/2017;1200;5.8;;23;;;;
82900;11/05/2017;0000;;29.8;;4.6;87;0.8574;
82900;11/05/2017;1200;2;;22.6;;;;
82900;12/05/2017;0000;;30;;9.4;75.25;1.37184;
82900;12/05/2017;1200;0;;23.4;;;;
82900;13/05/2017;0000;;30.8;;9.5;70.75;1.7148;
82900;13/05/2017;1200;0;;20.7;;;;
82900;14/05/2017;0000;;31;;9.6;78.25;1.37184;
82900;14/05/2017;1200;0;;21.6;;;;
82900;15/05/2017;0000;;31;;7.6;78.5;0.51444;
82900;15/05/2017;1200;0;;22.4;;;;
82900;16/05/2017;0000;;33.2;;9.6;77.25;1.37184;
82900;16/05/2017;1200;0;;22.3;;;;
82900;17/05/2017;0000;;32.2;;8.5;74;0.8574;
82900;17/05/2017;1200;0;;22;;;;
82900;18/05/2017;0000;;31.6;;8.2;75;1.37184;
82900;18/05/2017;1200;0;;23.4;;;;
82900;19/05/2017;0000;;31.4;;7.8;76.25;1.88628;
82900;19/05/2017;1200;0.6;;23;;;;
82900;20/05/2017;0000;;29.8;;7;79.75;2.05776;
82900;20/05/2017;1200;16;;23.7;;;;
82900;21/05/2017;0000;;30.9;;9;78;1.54332;
82900;21/05/2017;1200;5.4;;23.2;;;;
82900;22/05/2017;0000;;31.6;;6.9;79.5;1.02888;
82900;22/05/2017;1200;15.6;;23.6;;;;
82900;23/05/2017;0000;;32.1;;8.7;80.75;1.20036;
82900;23/05/2017;1200;0;;21.6;;;;
82900;24/05/2017;0000;;30;;5.7;88.25;1.37184;
82900;24/05/2017;1200;4.6;;22.8;;;;
82900;25/05/2017;0000;;28.9;;0.8;92.25;0.51444;
82900;25/05/2017;1200;29.4;;20.2;;;;
82900;26/05/2017;0000;;28.7;;1.3;89.75;0.68592;
82900;26/05/2017;1200;1;;21;;;;
82900;27/05/2017;0000;;;;;;0.77166;
82900;27/05/2017;1200;0;;22.4;;;;
82900;28/05/2017;0000;;28.1;;0.2;92;2.91516;
82900;28/05/2017;1200;49.6;;23.8;;;;
82900;29/05/2017;0000;;26.7;;0;89.25;2.22924;
82900;29/05/2017;1200;72.9;;21.9;;;;
