depth [m]	age [yr BP]	CH4 concentration [ppbv]	one standard deviation [ppbv]
104.965	245	682.7	10
106.815	309	675	10
110.02	419	684.3	10
113.215	528	644.3	10
115.415	602	685	10
118.665	711	666.7	10
121.34	800	667.4	10
124.765	915	647	10
126.965	989	623.7	10
129.365	1070	634.7	10
132.02	1159	643.7	10
134.665	1248	628.7	10
137.965	1360	620	10
140.915	1463	631.3	10
143.57	1557	631.7	10
146.215	1651	623.3	10
148.965	1749	608	10
150.815	1816	613	10
154.02	1931	613.3	10
157.765	2067	603.7	10
159.965	2147	608.7	10
162.235	2231	601.7	10
165.465	2350	597	10
168.28	2453	591.7	10
170.66	2538	596.5	10
173.235	2628	591.7	10
176.465	2741	580	10
178.665	2818	578.3	10
180.97	2901	577	10
185.465	3064	572.7	10
187.465	3136	576	10
189.665	3217	567.7	10
192.52	3320	581.3	10
195.915	3440	572.7	10
201.215	3626	577.7	10
203.655	3711	579.3	10
205.815	3788	569	10
209.465	3919	569.3	10
212.215	4017	567.7	10
214.66	4105	569.3	10
216.17	4159	570.3	10
220.71	4323	572.5	10
222.665	4393	569.7	10
225.415	4493	561.7	10
227.815	4582	561.7	10
231.61	4721	563	10
233.665	4795	563.3	10
236.415	4893	567.7	10
240.335	5036	561	10
242.06	5098	563	10
244.665	5194	558.3	10
247.965	5316	553.7	10
250.785	5421	565	10
253.06	5505	566	10
256.215	5619	568.3	10
258.965	5719	569.7	10
260.17	5763	584.3	10
264.02	5904	575	10
268.315	6062	564	10
269.415	6102	581	10
271.815	6191	576	10
276.015	6347	577	10
278.215	6429	580	10
279.97	6493	587.7	10
283.785	6633	607	10
285.915	6711	595.3	10
288.185	6792	603.3	10
291.52	6913	605.3	10
294.365	7017	607	10
297.465	7131	609.7	10
299.665	7210	607.3	10
302.52	7311	618.3	10
305.27	7408	601.7	10
308.465	7519	611.7	10
311.215	7616	609.7	10
313.52	7697	622.7	10
316.27	7796	623	10
319.465	7913	610.7	10
321.805	8000	597.7	10
324.56	8101	624.3	10
326.17	8160	605.7	10
330.43	8312	641.4	10
333.215	8410	649.3	10
335.965	8506	659.7	10
338.27	8586	653.7	10
341.02	8681	657.3	10
343.665	8770	659	10
346.965	8882	657.5	10
349.27	8959	657.3	10
352.06	9050	670	10
355.765	9169	664.7	10
357.415	9222	665	10
359.72	9295	663.3	10
362.915	9397	673.7	10
369.07	9589	682.3	10
371.165	9655	683.3	10
374.57	9761	676.3	10
377.215	9844	682.3	10
379.52	9916	685	10
381.715	9985	678	10
385.53	10106	698	10
388.28	10194	678	10
389.97	10248	688	10
393.715	10368	661.3	10
396.43	10456	652	10
399.215	10548	666	10
401.52	10624	680.7	10
404.715	10730	673.3	10
407.43	10820	703	10
411.315	10950	633.3	10
