depth [m]	age [yr BP]	CO2 concentration [ppmv]	one standard deviation [ppmv]
110.5	435	281.9	1.1
121.5	806	280.1	0.6
132.5	1175	277.7	1.2
144.05	1574	280	0.8
154.5	1948	276.9	0.7
171	2550	278.9	0.6
181.445	2918	274.6	0.8
193	3337	275	0.6
204	3724	275.4	0.5
215	4117	272.8	0.8
221.05	4335	271.1	0.8
232.05	4737	270.7	0.5
242.5	5114	267.6	0.6
253.5	5521	265.9	0.9
264.5	5921	265.5	0.8
280.53	6514	262.1	0.9
292	6930	262.3	0.9
303	7328	260.1	0.6
314	7714	260.8	1.4
325	8118	261.3	0.9
330.5	8315	261.8	1
341.5	8697	259.3	1
349.75	8974	263.8	0.8
352.58	9067	265.2	0.9
360.2	9310	263	0.4
369.55	9604	264.4	0.4
375.05	9776	264	0.3
380	9931	265.7	0.5
385.13	10093	267.5	0.4
390.45	10263	266	1.1
396.5	10458	267.6	0.7
399.28	10550	264.8	0.6
402	10640	264.8	0.4
404.78	10732	265.3	0.4
407.5	10822	264.1	0.7
411.38	10952	264.5	0.4
