Logradouro;Intervalo de Datas;Hora;Caminhao grande;Caminhao md/grd;Caminhao peq/md;Caminhao pequeno;Moto;Nao Reconhecido;Oibus grande;Oibus pequeno;Passeio grande;Passeio pequeno
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;00:00:00 - 00:14:59;0;1;0;0;0;0;0;0;5;32
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;00:15:00 - 00:29:59;0;0;0;0;0;1;1;0;9;29
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;00:30:00 - 00:44:59;0;1;0;0;1;1;1;0;13;26
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;00:45:00 - 00:59:59;0;0;0;0;0;0;0;0;6;21
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;01:00:00 - 01:14:59;0;0;0;0;0;2;0;0;4;20
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;01:15:00 - 01:29:59;1;0;0;0;0;0;0;0;11;15
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;01:30:00 - 01:44:59;0;0;1;0;0;1;0;0;3;12
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;01:45:00 - 01:59:59;0;0;0;0;0;0;1;0;5;5
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;02:00:00 - 02:14:59;0;1;0;0;0;1;0;0;6;7
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;02:15:00 - 02:29:59;0;0;0;0;0;1;1;0;3;10
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;02:30:00 - 02:44:59;0;0;0;0;0;1;1;0;3;11
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;02:45:00 - 02:59:59;0;0;1;0;0;0;0;0;4;6
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;03:00:00 - 03:14:59;0;1;0;0;0;1;0;0;4;8
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;03:15:00 - 03:29:59;1;0;0;0;0;0;2;0;1;9
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;03:30:00 - 03:44:59;1;0;0;0;0;2;0;0;3;9
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;03:45:00 - 03:59:59;0;0;0;0;0;0;0;0;3;11
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;04:00:00 - 04:14:59;0;1;1;0;0;0;1;0;6;12
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;04:15:00 - 04:29:59;1;0;0;0;2;1;0;0;4;12
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;04:30:00 - 04:44:59;1;0;0;0;0;0;1;0;9;22
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;04:45:00 - 04:59:59;1;0;0;0;0;0;2;0;8;27
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;05:00:00 - 05:14:59;1;3;0;0;2;0;1;0;13;45
AVENIDA BOA VIAGEM - ENTRE OS NRS. 6114 E 5888;8/6/2015;05:15:00 - 05:29:59;0;0;1;0;0;1;2;0;13;44
