Estacao;Data;Hora;InsolacaoTotal;NumDiasPrecipitacao;PrecipitacaoTotal;PressaoNivelMarMedia;PressaoMedia;TempMaximaMedia;TempCompensadaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82900;31/03/1961;0000;;22;348.1;;;29.087097;26.165806;22.916129;82.435484;
82900;30/04/1961;0000;;26;424.8;;;28.493333;25.220667;22.496667;85.433333;
82900;31/05/1961;0000;157.4;24;248;;;28.254839;24.729032;21.932258;85.322581;
82900;30/06/1961;0000;;28;336.5;;;27.603333;24.276;21.54;84.875;
82900;31/07/1961;0000;;25;355.2;;;26.658065;23.2;20.496774;84.75;
82900;31/08/1961;0000;;28;243.8;;;26.587097;23.095484;20.280645;84.16129;
82900;30/09/1961;0000;;16;91.2;;;27.603333;24.284;21.066667;78.466667;
82900;31/10/1961;0000;;23;86;;;28.067742;24.952258;21.848387;79.080645;
82900;30/11/1961;0000;;5;8.5;;;29.426667;25.506;20.89;71.475;
82900;31/12/1961;0000;;7;18;;;29.722581;25.905806;20.887097;72.870968;
82900;31/01/1962;0000;;0;0;;;30.590323;26.291613;20.887097;71.193548;
82900;28/02/1962;0000;250.7;9;90.5;;;30.235714;26.757857;22.771429;71.517857;
82900;31/03/1962;0000;218.7;11;155.6;;;29.948387;26.454194;22.793548;77.66129;
82900;30/04/1962;0000;199.7;18;128;;;28.98;25.538667;22.09;81.641667;
82900;31/05/1962;0000;197.5;18;286.1;;;28.512903;24.890968;21.458065;84.096774;
82900;30/06/1962;0000;137.6;23;562.6;;;27.28;24.215333;21.103333;85.333333;
82900;31/07/1962;0000;162.7;23;290.7;;;26.754839;23.398065;20.393548;85.193548;
82900;31/08/1962;0000;183.7;21;143;;;26.967742;23.514194;20.048387;81.096774;
82900;30/09/1962;0000;222.7;16;164.5;;;27.593333;23.896667;20.206667;80.35;
82900;31/10/1962;0000;236.1;7;21.8;;;29.248387;25.134839;21.041935;75.524194;
82900;30/11/1962;0000;233.9;6;6.2;;;29.53;25.522;21.063333;74.45;
82900;31/12/1962;0000;233.7;13;105.1;;;29.858065;26.111613;22.058065;75.403226;
82900;31/01/1963;0000;272.8;7;23.7;;;30.409677;26.345806;21.732258;74.024194;
