#title = mean sea level anomaly global ocean (66S to 66N) (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.88 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,ERS-2,GFO,Jason-1,Envisat,Jason-2
1992.9614,-17.77000,,,,,
1992.9865,-16.97000,,,,,
1993.0123,-13.17000,,,,,
1993.0407,-19.07000,,,,,
1993.0660,-24.37000,,,,,
1993.0974,-28.67000,,,,,
1993.1206,-25.87000,,,,,
1993.1493,-20.67000,,,,,
1993.1765,-19.17000,,,,,
1993.2037,-18.47000,,,,,
1993.2307,-22.37000,,,,,
1993.2851,-24.37000,,,,,
1993.3123,-17.37000,,,,,
1993.3394,-18.17000,,,,,
1993.3665,-16.37000,,,,,
1993.3937,-22.67000,,,,,
1993.4208,-25.17000,,,,,
1993.4480,-22.77000,,,,,
1993.4751,-19.77000,,,,,
1993.5021,-15.17000,,,,,
1993.5294,-15.67000,,,,,
1993.5837,-23.17000,,,,,
1993.6117,-19.17000,,,,,
1993.6381,-14.17000,,,,,
1993.6652,-9.57000,,,,,
1993.6923,-11.17000,,,,,
1993.7189,-15.87000,,,,,
1993.7466,-15.27000,,,,,
1993.7738,-10.17000,,,,,
1993.8009,-7.67000,,,,,
1993.8553,-8.17000,,,,,
1993.8824,-13.27000,,,,,
1993.9098,-15.57000,,,,,
1993.9367,-14.87000,,,,,
1993.9639,-6.17000,,,,,
1993.9907,-5.57000,,,,,
1994.0181,-15.17000,,,,,
1994.0452,-16.47000,,,,,
1994.0723,-18.67000,,,,,
1994.0995,-21.67000,,,,,
1994.1267,-20.87000,,,,,
1994.1539,-17.87000,,,,,
1994.1809,-16.07000,,,,,
1994.2353,-20.17000,,,,,
1994.2624,-18.17000,,,,,
1994.2896,-14.47000,,,,,
1994.3168,-13.37000,,,,,
1994.3439,-18.17000,,,,,
1994.3710,-23.47000,,,,,
1994.3982,-26.27000,,,,,
1994.4253,-22.47000,,,,,
1994.4524,-17.67000,,,,,
1994.5067,-21.47000,,,,,
1994.5339,-21.97000,,,,,
1994.5610,-22.17000,,,,,
1994.5882,-19.67000,,,,,
1994.6154,-16.37000,,,,,
1994.6425,-12.67000,,,,,
1994.6697,-15.67000,,,,,
1994.6968,-14.47000,,,,,
1994.7239,-15.77000,,,,,
1994.7510,-14.07000,,,,,
1994.7782,-9.97000,,,,,
1994.8054,-4.07000,,,,,
1994.8325,-7.97000,,,,,
1994.8868,-15.27000,,,,,
1994.9140,-17.47000,,,,,
1994.9412,-9.57000,,,,,
1994.9684,-8.37000,,,,,
1994.9955,-12.67000,,,,,
1995.0226,-16.07000,,,,,
1995.0497,-19.07000,,,,,
1995.0769,-13.47000,,,,,
1995.1040,-14.27000,,,,,
1995.1312,-17.77000,,,,,
1995.1583,-17.57000,,,,,
1995.2127,-15.87000,,,,,
1995.2398,-19.57000,,,,,
1995.2669,-14.67000,,,,,
1995.2941,-13.67000,,,,,
1995.3212,-16.97000,,,,,
1995.3410,,-13.59000,,,,
1995.3576,,-16.79000,,,,
1995.3755,-22.77000,,,,,
1995.3816,,-15.29000,,,,
1995.4028,-17.77000,,,,,
1995.4058,,-13.39000,,,,
1995.4298,-13.77000,,,,,
1995.4303,,-17.49000,,,,
1995.4535,,-16.39000,,,,
1995.4569,-17.27000,,,,,
1995.4778,,-16.69000,,,,
1995.4841,-21.47000,,,,,
1995.5016,,-17.79000,,,,
1995.5256,,-17.29000,,,,
1995.5384,-22.97000,,,,,
1995.5495,,-15.09000,,,,
1995.5655,-18.17000,,,,,
1995.5731,,-14.79000,,,,
1995.5927,-15.47000,,,,,
1995.5975,,-13.09000,,,,
1995.6199,-12.77000,,,,,
1995.6217,,-7.59000,,,,
1995.6455,,-8.19000,,,,
1995.6470,-16.57000,,,,,
1995.6691,,-6.69000,,,,
1995.6740,-15.87000,,,,,
1995.6933,,-3.29000,,,,
1995.7013,-12.37000,,,,,
1995.7174,,5.51000,,,,
1995.7285,-4.47000,,,,,
1995.7402,,4.11000,,,,
1995.7556,-5.07000,,,,,
1995.7652,,-1.49000,,,,
1995.7827,-5.67000,,,,,
1995.7893,,2.81000,,,,
1995.8132,,0.91000,,,,
1995.8368,,-3.69000,,,,
1995.8371,-11.07000,,,,,
1995.8610,,-5.29000,,,,
1995.8643,-9.27000,,,,,
1995.8899,-6.07000,,,,,
1995.9095,,1.61000,,,,
1995.9329,,-5.79000,,,,
1995.9456,-6.47000,,,,,
1995.9571,,3.51000,,,,
1995.9728,-8.37000,,,,,
1995.9817,,2.71000,,,,
1995.9998,-14.57000,,,,,
1996.0055,,-1.79000,,,,
1996.0270,-18.77000,,,,,
1996.0272,,2.91000,,,,
1996.0528,,-16.49000,,,,
1996.0533,-17.07000,,,,,
1996.0814,-10.87000,,,,,
1996.0819,,-9.69000,,,,
1996.1006,,-9.79000,,,,
1996.1084,-9.97000,,,,,
1996.1242,,-9.29000,,,,
1996.1486,,-11.49000,,,,
1996.1631,-16.57000,,,,,
1996.1725,,-15.49000,,,,
1996.1899,-20.07000,,,,,
1996.1967,,-18.99000,,,,
1996.2171,-15.27000,,,,,
1996.2193,,-17.39000,,,,
1996.2442,-10.97000,,,,,
1996.2449,,-10.39000,,,,
1996.2684,,-10.99000,,,,
1996.2714,-14.27000,,,,,
1996.2923,,-9.79000,,,,
1996.2985,-17.07000,,,,,
1996.3159,,-5.99000,,,,
1996.3257,-17.67000,,,,,
1996.3402,,-5.59000,,,,
1996.3529,-15.97000,,,,,
1996.3645,,-7.09000,,,,
1996.3800,-12.17000,,,,,
1996.3882,,-7.39000,,,,
1996.4071,-11.47000,,,,,
1996.4124,,-10.29000,,,,
1996.4342,-13.87000,,,,,
1996.4360,,-16.69000,,,,
1996.4599,,-8.19000,,,,
1996.4837,,-6.19000,,,,
1996.4886,-16.57000,,,,,
1996.5080,,-8.99000,,,,
1996.5157,-15.27000,,,,,
1996.5319,,-7.39000,,,,
1996.5429,-9.47000,,,,,
1996.5559,,-6.09000,,,,
1996.5700,-5.97000,,,,,
1996.5799,,-6.89000,,,,
1996.5972,-8.67000,,,,,
1996.6039,,-3.29000,,,,
1996.6244,-13.67000,,,,,
1996.6274,,-11.79000,,,,
1996.6515,-14.17000,,,,,
1996.6517,,-12.79000,,,,
1996.6757,,-13.89000,,,,
1996.6786,-12.17000,,,,,
1996.6996,,-3.99000,,,,
1996.7053,-5.57000,,,,,
1996.7234,,4.61000,,,,
1996.7335,-0.47000,,,,,
1996.7476,,8.71000,,,,
1996.7600,2.63000,,,,,
1996.7714,,0.21000,,,,
1996.7954,,-1.09000,,,,
1996.8144,7.73000,,,,,
1996.8195,,6.51000,,,,
1996.8415,9.93000,,,,,
1996.8435,,5.21000,,,,
1996.8673,,2.71000,,,,
1996.8687,5.43000,,,,,
1996.8914,,-2.49000,,,,
1996.8959,-1.47000,,,,,
1996.9150,,1.11000,,,,
1996.9230,-5.27000,,,,,
1996.9397,,-2.99000,,,,
1996.9501,-9.27000,,,,,
1996.9625,,-4.79000,,,,
1996.9770,-12.97000,,,,,
1996.9871,,-1.49000,,,,
1997.0044,-12.57000,,,,,
1997.0111,,-1.49000,,,,
1997.0316,-7.67000,,,,,
1997.0350,,-4.79000,,,,
1997.0587,-9.47000,,,,,
1997.0589,,-9.29000,,,,
1997.0828,,-10.79000,,,,
1997.0858,-11.97000,,,,,
1997.1069,,-20.99000,,,,
1997.1324,,-0.59000,,,,
1997.1402,-15.87000,,,,,
1997.1549,,-12.39000,,,,
1997.1673,-14.07000,,,,,
1997.1741,,-15.49000,,,,
1997.1944,-12.07000,,,,,
1997.2061,,-14.39000,,,,
1997.2216,-9.67000,,,,,
1997.2266,,-16.39000,,,,
1997.2487,-12.57000,,,,,
1997.2507,,-9.49000,,,,
1997.2746,,-13.79000,,,,
1997.2759,-15.57000,,,,,
1997.2983,,-20.19000,,,,
1997.3030,-18.47000,,,,,
1997.3222,,-16.39000,,,,
1997.3302,-14.57000,,,,,
1997.3465,,-13.09000,,,,
1997.3573,-7.87000,,,,,
1997.3708,,-14.19000,,,,
1997.3844,-10.77000,,,,,
1997.3943,,-10.79000,,,,
1997.4116,-10.67000,,,,,
1997.4182,,-9.19000,,,,
1997.4423,,-8.69000,,,,
1997.4659,-13.07000,,,,,
1997.4661,,-8.09000,,,,
1997.4902,,-11.69000,,,,
1997.4928,-9.27000,,,,,
1997.5144,,-5.19000,,,,
1997.5202,-5.67000,,,,,
1997.5381,,-5.29000,,,,
1997.5474,-0.87000,,,,,
1997.5616,,-6.99000,,,,
1997.5745,-5.17000,,,,,
1997.5860,,-3.19000,,,,
1997.6098,,-1.59000,,,,
1997.6288,-6.17000,,,,,
1997.6339,,-6.59000,,,,
1997.6560,-0.07000,,,,,
1997.6578,,1.21000,,,,
1997.6818,,3.51000,,,,
1997.6830,3.73000,,,,,
1997.7058,,5.91000,,,,
1997.7103,6.13000,,,,,
1997.7297,,8.81000,,,,
1997.7374,4.93000,,,,,
1997.7535,,10.21000,,,,
1997.7777,,8.81000,,,,
1997.7917,2.23000,,,,,
